domain,site,sitemap,reason,new_urls_count,blacklisted_on
couvreur-qualifie.fr,http://couvreur-qualifie.fr,https://couvreur-qualifie.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-rapide.fr,http://couvreur-rapide.fr,https://couvreur-rapide.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-remplacement-toiture.fr,http://couvreur-remplacement-toiture.fr,https://couvreur-remplacement-toiture.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-renovation-classique.fr,http://couvreur-renovation-classique.fr,https://couvreur-renovation-classique.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-renovation-complete.fr,http://couvreur-renovation-complete.fr,https://couvreur-renovation-complete.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-renovation-france.fr,http://couvreur-renovation-france.fr,https://couvreur-renovation-france.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-renovation-maison.fr,http://couvreur-renovation-maison.fr,https://couvreur-renovation-maison.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-reparation-fuite.fr,http://couvreur-reparation-fuite.fr,https://couvreur-reparation-fuite.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-reparation-toit.fr,http://couvreur-reparation-toit.fr,https://couvreur-reparation-toit.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-saintbrieuc.fr,http://couvreur-saintbrieuc.fr,https://couvreur-saintbrieuc.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-saintdenis.fr,http://couvreur-saintdenis.fr,https://couvreur-saintdenis.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-saintetienne.fr,http://couvreur-saintetienne.fr,https://couvreur-saintetienne.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-saintmalo.fr,http://couvreur-saintmalo.fr,https://couvreur-saintmalo.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-saintnazaire.fr,http://couvreur-saintnazaire.fr,https://couvreur-saintnazaire.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-sens.fr,http://couvreur-sens.fr,https://couvreur-sens.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-service-france.fr,http://couvreur-service-france.fr,https://couvreur-service-france.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-solide.fr,http://couvreur-solide.fr,https://couvreur-solide.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-specialiste-toiture.fr,http://couvreur-specialiste-toiture.fr,https://couvreur-specialiste-toiture.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-sud-est.fr,http://couvreur-sud-est.fr,https://couvreur-sud-est.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-ardoise.fr,http://couvreur-toiture-ardoise.fr,https://couvreur-toiture-ardoise.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-artisan.fr,http://couvreur-toiture-artisan.fr,https://couvreur-toiture-artisan.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-bacacier.fr,http://couvreur-toiture-bacacier.fr,https://couvreur-toiture-bacacier.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-durable.fr,http://couvreur-toiture-durable.fr,https://couvreur-toiture-durable.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-etancheite.fr,http://couvreur-toiture-etancheite.fr,https://couvreur-toiture-etancheite.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-expert.fr,http://couvreur-toiture-expert.fr,https://couvreur-toiture-expert.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-fiable.fr,http://couvreur-toiture-fiable.fr,https://couvreur-toiture-fiable.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-france.fr,http://couvreur-toiture-france.fr,https://couvreur-toiture-france.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-maison.fr,http://couvreur-toiture-maison.fr,https://couvreur-toiture-maison.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-plate.fr,http://couvreur-toiture-plate.fr,https://couvreur-toiture-plate.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-professionnel.fr,http://couvreur-toiture-professionnel.fr,https://couvreur-toiture-professionnel.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-service.fr,http://couvreur-toiture-service.fr,https://couvreur-toiture-service.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-solide.fr,http://couvreur-toiture-solide.fr,https://couvreur-toiture-solide.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-terrasse.fr,http://couvreur-toiture-terrasse.fr,https://couvreur-toiture-terrasse.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-tuiles.fr,http://couvreur-toiture-tuiles.fr,https://couvreur-toiture-tuiles.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-toiture-zinc.fr,http://couvreur-toiture-zinc.fr,https://couvreur-toiture-zinc.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-travaux-batiment.fr,http://couvreur-travaux-batiment.fr,https://couvreur-travaux-batiment.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-travaux-france.fr,http://couvreur-travaux-france.fr,https://couvreur-travaux-france.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-travaux-maison.fr,http://couvreur-travaux-maison.fr,https://couvreur-travaux-maison.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-travaux-renovation.fr,http://couvreur-travaux-renovation.fr,https://couvreur-travaux-renovation.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-travaux-toiture.fr,http://couvreur-travaux-toiture.fr,https://couvreur-travaux-toiture.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-travaux.fr,http://couvreur-travaux.fr,https://couvreur-travaux.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-tuiles-ardoises.fr,http://couvreur-tuiles-ardoises.fr,https://couvreur-tuiles-ardoises.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-tuiles.fr,http://couvreur-tuiles.fr,https://couvreur-tuiles.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-zinc-toiture.fr,http://couvreur-zinc-toiture.fr,https://couvreur-zinc-toiture.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-zinc.fr,http://couvreur-zinc.fr,https://couvreur-zinc.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
crdp-limousin.fr,https://www.crdp-limousin.fr,https://www.crdp-limousin.fr/sitemap_index.xml,definitive_sitemap_http_404_7d,0,2026-06-19
de-nobis.fr,https://de-nobis.fr,https://de-nobis.fr/sitemap.xml,too_many_new_urls>100,1003,2026-06-24
deco-tendance.fr,https://www.deco-tendance.fr/,https://www.deco-tendance.fr/sitemap_index.xml,too_many_new_urls>100,1000,2026-08-03
detectimmobilier.com,https://www.detectimmobilier.com/,https://www.detectimmobilier.com/sitemap.xml,too_many_new_urls>100,385,2026-05-28
devisprest.com,https://www.devisprest.com/,https://www.devisprest.com/sitemap_index.xml,too_many_new_urls>100,240,2026-07-02
diatech-immobilier.fr,https://www.diatech-immobilier.fr,https://www.diatech-immobilier.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-27
didiermathus.com,http://www.didiermathus.com/,https://www.didiermathus.com/sitemap_index.xml,too_many_new_urls>100,2447,2026-06-19
droiteconomique.org,https://www.droiteconomique.org/,https://www.droiteconomique.org/sitemap_index.xml,too_many_new_urls>100,1732,2026-07-23
ekonomista.org,https://www.ekonomista.org,https://www.ekonomista.org/sitemap-news.xml,definitive_sitemap_http_404_7d,0,2026-08-27
enalsa.fr,https://www.enalsa.fr/,https://www.enalsa.fr/sitemap_index.xml,definitive_sitemap_http_404_7d,0,2026-07-28
ericpagesimmobilier.fr,https://ericpagesimmobilier.fr/,https://ericpagesimmobilier.fr/sitemap_index.xml,too_many_new_urls>100,599,2026-08-18
espacecastillon.fr,https://www.espacecastillon.fr,https://www.espacecastillon.fr/sitemap_index.xml,too_many_new_urls>100,252,2026-08-15
etienne-services.fr,https://www.etienne-services.fr,https://www.etienne-services.fr/sitemap.xml,manual_high_volume_exclusion,,2026-05-22
europarl.fr,https://www.europarl.fr,https://www.europarl.fr/sitemap.xml,manual_high_volume_exclusion,,2026-05-22
f2mimmo.com,https://www.f2mimmo.com,https://www.f2mimmo.com/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
fiscalite-sci.com,https://fiscalite-sci.com,https://fiscalite-sci.com/sitemap_index.xml,definitive_sitemap_http_403_7d,0,2026-06-12
fiscannu.com,https://www.fiscannu.com,https://www.fiscannu.com/sitemap_index.xml,definitive_sitemap_http_404_7d,0,2026-08-06
fivestars-thailand.com,https://www.fivestars-thailand.com/fr,https://www.fivestars-thailand.com/xml/sitemap.xml,too_many_new_urls>100,5324,2026-05-28
flin.fr,https://www.flin.fr,https://www.flin.fr/sitemap_index.xml,definitive_sitemap_http_404_7d,0,2026-07-28
focusimmo.fr,https://www.focusimmo.fr,https://www.focusimmo.fr/sitemap_index.xml,too_many_new_urls>100,330,2026-08-25
gererseul.com,https://www.gererseul.com/,https://www.gererseul.com/sitemap_index.xml,too_many_new_urls>100,7567,2026-05-27
guide-robien.com,https://www.guide-robien.com/,https://www.guide-robien.com/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-31
guideloipinel.fr,http://guideloipinel.fr,https://guideloipinel.fr/sitemap_index.xml,too_many_new_urls>100,2279,2026-07-02
habitat-astuce.fr,https://www.habitat-astuce.fr/,https://www.habitat-astuce.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-27
habitat-bricolage.fr,https://www.habitat-bricolage.fr/,https://www.habitat-bricolage.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
habitat-confort.fr,https://www.habitat-confort.fr/,https://www.habitat-confort.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
habitat-innovant.fr,https://www.habitat-innovant.fr/,https://www.habitat-innovant.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
